province_id,province_name,province_confirmedNum,province_deathsNum,province_curesNum
42,湖北,67801,3182,62565
44,广东,1475,8,1349
41,河南,1276,22,1251
33,浙江,1254,1,1225
43,湖南,1018,4,1014
34,安徽,990,6,984
36,江西,937,1,934
37,山东,772,7,752
32,江苏,644,0,631
81,香港,641,4,118
50,重庆,579,6,570
11,北京,577,8,412
51,四川,550,3,536
31,上海,492,5,334
23,黑龙江,484,13,469
35,福建,338,1,295
13,河北,319,6,310
71,台湾,298,2,30
45,广西,254,2,250
61,陕西,253,3,242
53,云南,180,2,172
46,海南,168,6,162
12,天津,166,3,133
52,贵州,147,2,144
14,山西,136,0,133
62,甘肃,136,2,125
21,辽宁,134,2,124
22,吉林,98,1,92
15,内蒙古,95,1,74
65,新疆,76,3,73
64,宁夏,75,0,75
82,澳门,37,0,10
63,青海,18,0,18
54,西藏,1,0,1
