province_id,province_name,province_confirmedNum,province_deathsNum,province_curesNum
110000,北京市,589,8,491
120000,天津市,185,3,164
130000,河北省,327,6,314
140000,山西省,173,0,135
150000,内蒙古自治区,190,1,91
210000,辽宁省,145,2,138
220000,吉林省,100,1,96
230000,黑龙江省,819,13,470
310000,上海市,618,7,468
320000,江苏省,653,0,641
330000,浙江省,1267,1,1242
340000,安徽省,991,6,984
350000,福建省,353,1,330
360000,江西省,937,1,936
370000,山东省,784,7,759
410000,河南省,1276,22,1254
420000,湖北省,67803,3221,64363
430000,湖南省,1019,4,1014
440000,广东省,1564,8,1458
450000,广西壮族自治区,254,2,252
460000,海南省,168,6,162
500000,重庆市,579,6,570
510000,四川省,560,3,548
520000,贵州省,147,2,144
530000,云南省,184,2,175
540000,西藏自治区,1,0,1
610000,陕西省,256,3,248
620000,甘肃省,139,2,135
630000,青海省,18,0,18
640000,宁夏回族自治区,75,0,75
650000,新疆维吾尔自治区,76,3,73
710000,台湾省,393,6,114
810000,香港特别行政区,1012,4,434
820000,澳门特别行政区,45,0,13
